HORA,JANELA_ATIVA (O que o usuário vê),PROCESSO_DA_JANELA,PID,MEMORIA_RAM(MB),SITE_DETECTADO (Via Título/Rede),PORTAS_ABERTAS (LISTEN),CONEXOES_EXTERNAS (IPs)
13:20:19,import psutil.py - Scripts - Visual Studio Code,Code.exe,15104,50.0,-,,
13:20:20,import psutil.py - Scripts - Visual Studio Code,Code.exe,15104,49.5,-,,
13:20:21,import psutil.py - Scripts - Visual Studio Code,Code.exe,15104,49.5,-,,
13:20:22,import psutil.py - Scripts - Visual Studio Code,Code.exe,15104,49.6,-,,
13:20:23,import psutil.py - Scripts - Visual Studio Code,Code.exe,15104,49.9,-,,
13:20:24,import psutil.py - Scripts - Visual Studio Code,Code.exe,15104,49.8,-,,
13:20:25,import psutil.py - Scripts - Visual Studio Code,Code.exe,15104,49.8,-,,
13:20:26,import psutil.py - Scripts - Visual Studio Code,Code.exe,15104,49.8,-,,
13:20:27,import psutil.py - Scripts - Visual Studio Code,Code.exe,15104,49.9,-,,
13:20:28,import psutil.py - Scripts - Visual Studio Code,Code.exe,15104,49.8,-,,
13:20:29,HeadSoft Service Desk - Google Chrome,chrome.exe,18500,176.7,-,,
13:20:30,Google Gemini - Google Chrome,chrome.exe,18500,178.1,-,,
13:20:31,Google Gemini - Google Chrome,chrome.exe,18500,179.3,-,,
13:20:32,Google Gemini - Google Chrome,chrome.exe,18500,177.9,-,,
13:20:33,Google Gemini - Google Chrome,chrome.exe,18500,177.9,-,,
13:20:34,Google Gemini - Google Chrome,chrome.exe,18500,177.9,-,,
13:20:35,Google Gemini - Google Chrome,chrome.exe,18500,178.0,-,,
13:20:36,Google Gemini - Google Chrome,chrome.exe,18500,177.7,-,,
13:20:37,Google Gemini - Google Chrome,chrome.exe,18500,177.7,-,,
13:20:38,Google Gemini - Google Chrome,chrome.exe,18500,177.7,-,,
13:20:39,Google Gemini - Google Chrome,chrome.exe,18500,177.7,-,,
13:20:40,Google Gemini - Google Chrome,chrome.exe,18500,177.8,-,,
13:20:41,Google Gemini - Google Chrome,chrome.exe,18500,177.8,-,,
13:20:42,Google Gemini - Google Chrome,chrome.exe,18500,177.8,-,,
13:20:43,Google Gemini - Google Chrome,chrome.exe,18500,177.8,-,,
13:20:44,Google Gemini - Google Chrome,chrome.exe,18500,178.0,-,,
13:20:45,Google Gemini - Google Chrome,chrome.exe,18500,178.0,-,,
13:20:46,Google Gemini - Google Chrome,chrome.exe,18500,178.0,-,,
13:20:47,Google Gemini - Google Chrome,chrome.exe,18500,178.0,-,,
13:20:48,Google Gemini - Google Chrome,chrome.exe,18500,177.8,-,,
13:20:49,Google Gemini - Google Chrome,chrome.exe,18500,177.9,-,,
13:20:50,Google Gemini - Google Chrome,chrome.exe,18500,177.9,-,,
13:20:51,Google Gemini - Google Chrome,chrome.exe,18500,178.0,-,,
13:20:52,Google Gemini - Google Chrome,chrome.exe,18500,178.5,-,,
13:20:53,Google Gemini - Google Chrome,chrome.exe,18500,178.6,-,,
13:20:54,Google Gemini - Google Chrome,chrome.exe,18500,179.3,-,,
13:20:55,Google Gemini - Google Chrome,chrome.exe,18500,179.3,-,,
13:20:56,Google Gemini - Google Chrome,chrome.exe,18500,175.7,-,,
13:20:57,Google Gemini - Google Chrome,chrome.exe,18500,175.7,-,,
13:20:58,Google Gemini - Google Chrome,chrome.exe,18500,175.8,-,,
13:20:59,Google Gemini - Google Chrome,chrome.exe,18500,175.9,-,,
13:21:00,Google Gemini - Google Chrome,chrome.exe,18500,175.9,-,,
13:21:01,Google Gemini - Google Chrome,chrome.exe,18500,175.9,-,,
13:21:02,Google Gemini - Google Chrome,chrome.exe,18500,176.0,-,,
13:21:03,Google Gemini - Google Chrome,chrome.exe,18500,176.2,-,,
13:21:04,Google Gemini - Google Chrome,chrome.exe,18500,176.2,-,,
13:21:05,Google Gemini - Google Chrome,chrome.exe,18500,176.2,-,,
13:21:06,Google Gemini - Google Chrome,chrome.exe,18500,176.2,-,,
13:21:07,Google Gemini - Google Chrome,chrome.exe,18500,176.2,-,,
13:21:08,Google Gemini - Google Chrome,chrome.exe,18500,176.2,-,,
13:21:09,Google Gemini - Google Chrome,chrome.exe,18500,176.3,-,,
13:21:10,Google Gemini - Google Chrome,chrome.exe,18500,176.3,-,,
13:21:11,Google Gemini - Google Chrome,chrome.exe,18500,176.3,-,,
13:21:12,Google Gemini - Google Chrome,chrome.exe,18500,176.2,-,,
13:21:13,Google Gemini - Google Chrome,chrome.exe,18500,176.8,-,,
13:21:14,Google Gemini - Google Chrome,chrome.exe,18500,176.8,-,,
13:21:15,Google Gemini - Google Chrome,chrome.exe,18500,177.2,-,,
13:21:16,Google Gemini - Google Chrome,chrome.exe,18500,176.8,-,,
13:21:17,Google Gemini - Google Chrome,chrome.exe,18500,178.8,-,,
13:21:18,HeadSoft Service Desk - Google Chrome,chrome.exe,18500,180.3,-,,
13:21:19,HeadSoft Service Desk - Google Chrome,chrome.exe,18500,180.3,-,,
13:21:20,HeadSoft Service Desk - Google Chrome,chrome.exe,18500,178.7,-,,
13:21:21,Miki Matsubara - Stay With Me HD (Club Mix) - YouTube - Google Chrome,chrome.exe,18500,180.8,-,,
13:21:22,Miki Matsubara - Stay With Me HD (Club Mix) - YouTube - Google Chrome,chrome.exe,18500,180.5,-,,
