TIMESTAMP,PROCESSO_NOME,PID,CPU_USO(%),MEMORIA_USO(MB),TIPO_CONEXAO,IP_LOCAL,PORTA_LOCAL,IP_REMOTO,PORTA_REMOTA,HOSTNAME_REMOTO (SITE),CAMINHO_EXE
13:16:25,Sistema/Desconhecido,0,0.0,0.0,TIME_WAIT,192.168.10.102,7680,192.168.10.251,65079,-,-
13:16:25,OneDrive.exe,19056,0.0,21.5,ESTABLISHED,192.168.10.102,54766,172.172.255.217,443,Use um site de Whois com o IP,C:\Program Files\Microsoft OneDrive\OneDrive.exe
13:16:25,Code.exe,9236,0.0,10.2,ESTABLISHED,192.168.10.102,53059,20.42.73.27,443,Use um site de Whois com o IP,C:\Users\Kauan Lauer\AppData\Local\Programs\Microsoft VS Code\Code.exe
13:16:25,3CXSoftphone.exe,16636,0.0,14.3,ESTABLISHED,127.0.0.1,60975,127.0.0.1,60974,Use um site de Whois com o IP,C:\Program Files\WindowsApps\3CXDMCC.3CX_20.0.1076.0_x64__bhm4yemhnd70e\3CXSoftphone.exe
13:16:25,MpDefenderCoreService.exe,3300,0.0,5.4,ESTABLISHED,192.168.10.102,61819,52.123.128.14,443,Use um site de Whois com o IP,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25110.6-0\MpDefenderCoreService.exe
13:16:25,Code.exe,9236,0.0,10.2,ESTABLISHED,192.168.10.102,64844,95.101.31.48,443,Use um site de Whois com o IP,C:\Users\Kauan Lauer\AppData\Local\Programs\Microsoft VS Code\Code.exe
13:16:25,lsass.exe,668,0.0,9.8,LISTEN,::,49664,-,-,-,C:\Windows\System32\lsass.exe
13:16:25,msedgewebview2.exe,15380,0.0,6.3,ESTABLISHED,192.168.10.102,64215,52.112.127.96,443,Use um site de Whois com o IP,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe
13:16:25,svchost.exe,2148,0.0,0.5,LISTEN,::,49667,-,-,-,C:\Windows\System32\svchost.exe
13:16:25,OneDrive.exe,19056,0.0,21.5,ESTABLISHED,192.168.10.102,61811,13.107.136.10,443,Use um site de Whois com o IP,C:\Program Files\Microsoft OneDrive\OneDrive.exe
13:16:25,Code.exe,9236,0.0,10.2,ESTABLISHED,192.168.10.102,53654,95.101.31.48,443,Use um site de Whois com o IP,C:\Users\Kauan Lauer\AppData\Local\Programs\Microsoft VS Code\Code.exe
13:16:25,Code.exe,9236,0.0,10.2,ESTABLISHED,192.168.10.102,64465,92.123.10.20,443,Use um site de Whois com o IP,C:\Users\Kauan Lauer\AppData\Local\Programs\Microsoft VS Code\Code.exe
13:16:25,svchost.exe,1900,0.0,4.6,LISTEN,::,49666,-,-,-,C:\Windows\System32\svchost.exe
13:16:25,OneDrive.Sync.Service.exe,8756,0.0,4.4,LISTEN,::1,42050,-,-,-,C:\Program Files\Microsoft OneDrive\25.238.1204.0001\OneDrive.Sync.Service.exe
13:16:25,Sistema/Desconhecido,0,0.0,0.0,TIME_WAIT,192.168.10.102,7680,192.168.10.251,54354,-,-
13:16:25,chrome.exe,4972,0.0,25.8,ESTABLISHED,192.168.10.102,51835,172.217.28.142,443,Use um site de Whois com o IP,C:\Program Files\Google\Chrome\Application\chrome.exe
13:16:25,chrome.exe,4972,0.0,25.8,ESTABLISHED,192.168.10.102,50737,95.101.31.45,443,Use um site de Whois com o IP,C:\Program Files\Google\Chrome\Application\chrome.exe
13:16:25,ms-teams.exe,17032,0.0,7.9,ESTABLISHED,192.168.10.102,61671,52.112.84.185,443,Use um site de Whois com o IP,C:\Program Files\WindowsApps\MSTeams_25332.1210.4188.1171_x64__8wekyb3d8bbwe\ms-teams.exe
13:16:25,Sistema/Desconhecido,0,0.0,0.0,TIME_WAIT,192.168.10.102,61821,191.239.243.77,9322,-,-
13:16:25,Code.exe,9236,0.0,10.2,ESTABLISHED,192.168.10.102,56088,95.101.31.38,443,Use um site de Whois com o IP,C:\Users\Kauan Lauer\AppData\Local\Programs\Microsoft VS Code\Code.exe
13:16:25,svchost.exe,11772,0.0,9.8,LISTEN,::,7680,-,-,-,C:\Windows\System32\svchost.exe
13:16:25,Code.exe,9236,0.0,10.2,ESTABLISHED,192.168.10.102,55622,95.101.31.38,443,Use um site de Whois com o IP,C:\Users\Kauan Lauer\AppData\Local\Programs\Microsoft VS Code\Code.exe
13:16:25,Code.exe,9236,0.0,10.2,ESTABLISHED,192.168.10.102,53439,95.101.31.48,443,Use um site de Whois com o IP,C:\Users\Kauan Lauer\AppData\Local\Programs\Microsoft VS Code\Code.exe
13:16:25,3CXSoftphone.exe,16636,0.0,14.3,ESTABLISHED,192.168.10.102,60539,189.84.131.243,5090,Use um site de Whois com o IP,C:\Program Files\WindowsApps\3CXDMCC.3CX_20.0.1076.0_x64__bhm4yemhnd70e\3CXSoftphone.exe
13:16:25,Sistema/Desconhecido,0,0.0,0.0,TIME_WAIT,192.168.10.102,61810,191.239.243.77,9322,-,-
13:16:25,OUTLOOK.EXE,17456,0.0,34.4,ESTABLISHED,192.168.10.102,64114,52.97.78.98,443,Use um site de Whois com o IP,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
13:16:25,svchost.exe,1200,0.0,12.0,LISTEN,0.0.0.0,135,-,-,-,C:\Windows\System32\svchost.exe
13:16:25,services.exe,608,0.0,3.1,LISTEN,0.0.0.0,49678,-,-,-,C:\Windows\System32\services.exe
13:16:25,SSMS.exe,18644,0.0,36.4,ESTABLISHED,192.168.10.102,52164,20.226.29.104,9322,Use um site de Whois com o IP,C:\Program Files\Microsoft SQL Server Management Studio 22\Release\Common7\IDE\SSMS.exe
13:16:25,Sistema/Desconhecido,0,0.0,0.0,TIME_WAIT,192.168.10.102,61816,191.239.243.77,9322,-,-
13:16:25,Sistema/Desconhecido,0,0.0,0.0,TIME_WAIT,192.168.10.102,61820,191.239.243.77,9322,-,-
13:16:25,lsass.exe,668,0.0,9.8,LISTEN,0.0.0.0,49664,-,-,-,C:\Windows\System32\lsass.exe
13:16:25,Sistema/Desconhecido,0,0.0,0.0,TIME_WAIT,192.168.10.102,61809,191.239.243.77,9322,-,-
13:16:25,chrome.exe,4972,0.0,25.8,ESTABLISHED,192.168.10.102,57045,34.104.128.0,443,Use um site de Whois com o IP,C:\Program Files\Google\Chrome\Application\chrome.exe
13:16:25,OUTLOOK.EXE,17456,0.0,34.4,ESTABLISHED,192.168.10.102,61804,52.97.11.66,443,Use um site de Whois com o IP,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
13:16:25,Sistema/Desconhecido,0,0.0,0.0,TIME_WAIT,192.168.10.102,7680,192.168.10.251,51367,-,-
13:16:25,Code.exe,9236,0.0,10.2,ESTABLISHED,192.168.10.102,55913,95.101.31.48,443,Use um site de Whois com o IP,C:\Users\Kauan Lauer\AppData\Local\Programs\Microsoft VS Code\Code.exe
13:16:25,OUTLOOK.EXE,17456,0.0,34.4,ESTABLISHED,192.168.10.102,54759,52.97.11.226,443,Use um site de Whois com o IP,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
13:16:25,Sistema/Desconhecido,0,0.0,0.0,TIME_WAIT,192.168.10.102,61818,191.239.243.77,9322,-,-
13:16:25,Sistema/Desconhecido,0,0.0,0.0,TIME_WAIT,192.168.10.102,49222,20.50.73.12,443,-,-
13:16:25,chrome.exe,4972,0.0,25.8,ESTABLISHED,192.168.10.102,62854,34.104.128.0,443,Use um site de Whois com o IP,C:\Program Files\Google\Chrome\Application\chrome.exe
13:16:25,System,4,0.0,0.1,LISTEN,0.0.0.0,445,-,-,-,
13:16:25,Code.exe,9236,0.0,10.2,ESTABLISHED,192.168.10.102,52734,185.199.110.133,443,Use um site de Whois com o IP,C:\Users\Kauan Lauer\AppData\Local\Programs\Microsoft VS Code\Code.exe
13:16:25,Sistema/Desconhecido,0,0.0,0.0,TIME_WAIT,192.168.10.102,7680,192.168.10.251,51366,-,-
